"quant.n","OR.at.each.level"
0.01,0.190411212380836
0.02,0.23125832777924
0.03,0.261607120286624
0.04,0.2870349487134
0.05,0.309530675932334
0.06,0.330061745143761
0.07,0.349180977862282
0.08,0.36723786808977
0.09,0.384469412851656
0.1,0.401044878125486
0.11,0.417090110788436
0.12,0.432701741237759
0.13,0.447955967145631
0.14,0.462914241100385
0.15,0.477627095498218
0.16,0.492136797835748
0.17,0.506479244764277
0.18,0.520685345270073
0.19,0.534782051814191
0.2,0.548793143229726
0.21,0.562739828994867
0.22,0.576641222661809
0.23,0.590514717913488
0.24,0.604376291133403
0.25,0.618240747820352
0.26,0.632121925618226
0.27,0.646032863503504
0.28,0.659985944355441
0.29,0.673993016447254
0.3,0.688065498154013
0.31,0.702214469247642
0.32,0.716450751453488
0.33,0.730784980415243
0.34,0.745227670811929
0.35,0.759789276061164
0.36,0.77448024380444
0.37,0.78931106818622
0.38,0.804292339797146
0.39,0.819434794043735
0.4,0.834749358625759
0.41,0.850247200743452
0.42,0.865939774615791
0.43,0.88183886986613
0.44,0.897956661320214
0.45,0.914305760763235
0.46,0.930899271216143
0.47,0.94775084431698
0.48,0.964874741430556
0.49,0.982285899160252
0.5,1
0.51,1.01803354894424
0.52,1.036403956971
0.53,1.05512963243064
0.54,1.07423008151417
0.55,1.093726019144
0.56,1.11363949183222
0.57,1.13399401429403
0.58,1.15481472189413
0.59,1.17612854135316
0.6,1.19796438256184
0.61,1.22035335485965
0.62,1.24332901175239
0.63,1.2669276287965
0.64,1.29118852030073
0.65,1.31615440163109
0.66,1.34187180531085
0.67,1.36839156085527
0.68,1.39576935047003
0.69,1.42406635549878
0.7,1.45335001200157
0.71,1.48369489831095
0.72,1.51518378315863
0.73,1.54790887042015
0.74,1.58197328628015
0.75,1.61749286750439
0.76,1.65459832668928
0.77,1.69343789352682
0.78,1.73418056271444
0.79,1.77702012275574
0.8,1.82218020093119
0.81,1.86992064637848
0.82,1.92054569824951
0.83,1.97441456947642
0.84,2.03195535143412
0.85,2.09368356490933
0.86,2.1602273406472
0.87,2.23236227072046
0.88,2.31106072543056
0.89,2.39756343805341
0.9,2.4934865261815
0.91,2.60098714377011
0.92,2.7230307299234
0.93,2.86384443425897
0.94,3.02973614698802
0.95,3.2306975616808
0.96,3.48389631465569
0.97,3.82252592706335
0.98,4.32416860228533
0.99,5.25179156992041
